2024-03-26 08:51:21,197 [Worker-5: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2024-03-26 08:53:02,031 [Worker-7: Creating project "petshop-cats"] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: petshop:petshop-cats:1.0 @ D:\OneDrive - University of Technology and Education\petshop\petshop-cats\pom.xml.
2024-03-26 08:53:02,615 [Worker-7: Creating project "petshop-cats"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /petshop-cats/src/main/java
2024-03-26 08:53:02,617 [Worker-7: Creating project "petshop-cats"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /petshop-cats/src/main/resources
2024-03-26 08:53:02,617 [Worker-7: Creating project "petshop-cats"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /petshop-cats/src/test/java
2024-03-26 08:53:02,618 [Worker-7: Creating project "petshop-cats"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /petshop-cats/src/test/resources
2024-03-26 08:53:05,193 [Worker-3: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-03-26 08:53:05,200 [Worker-3: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-03-26 08:53:05,202 [Worker-3: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-03-26 08:53:05,203 [Worker-3: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-03-26 08:53:06,409 [Worker-11: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-03-26 08:53:06,412 [Worker-11: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
